Ability,সামর্থ্য
Able,সক্ষম
About,সম্পর্কে
Above,উপরে
Accept,গ্রহণ করা
According,অনুযায়ী
Account,হিসাব
Across,জুড়ে
Act,কাজ
Action,ক্রিয়া
Actually,আসলে
Add,যোগ করা
Address,ঠিকানা
Admin,প্রশাসক
Adult,প্রাপ্তবয়স্ক
After,পরে
Again,আবার
Against,বিরুদ্ধে
Age,বয়স
Ago,আগে
Agree,সম্মত হওয়া
Air,বাতাস
All,সব
Allow,অনুমতি দেওয়া
Almost,প্রায়
Alone,একা
Already,ইতিমধ্যে
Although,যদিও
Always,সর্বদা
Amazing,বিস্ময়কর
Among,মধ্যে
Amount,পরিমাণ
Amuse,আমোদ করা
Ancient,প্রাচীন
Angry,রাগান্বিত
Animal,প্রাণী
Announce,ঘোষণা করা
Annual,বার্ষিক
Another,অন্য
Answer,উত্তর
Anticipate,প্রত্যাশা করা
Anxiety,উদ্বেগ
Anything,যে কোনো কিছু
Anytime,যে কোনো সময়
Anywhere,যে কোনো জায়গায়
Apart,আলাদা
Apparent,স্পষ্ট
Appeal,আবেদন
Appear,প্রকাশ পাওয়া
Applicable,প্রযোজ্য
Application,আবেদন
Appoint,নিয়োগ করা
Approve,অনুমোদন করা
Area,এলাকা
Argue,তর্ক করা
Arise,উত্থাপিত হওয়া
Arm,বাহু
Army,সেনাবাহিনী
Around,চারপাশে
Arrange,ব্যবস্থা করা
Arrest,গ্রেফতার করা
Arrival,আগমন
Arrive,পৌঁছানো
Art,শিল্প
Article,প্রবন্ধ
Artist,শিল্পী
As,যেমন
Ask,জিজ্ঞাসা করা
Awake,জেগে ওঠা
Award,পুরস্কার
Aware,সচেতন
Awful,ভয়ানক
Baby,শিশু
Back,পিছনে
Bad,খারাপ
Bag,ব্যাগ
Ball,বল
Balance,ভারসাম্য
Ban,নিষিদ্ধ করা
Bank,ব্যাংক
Bar,বার
Bath,স্নান
Be,হওয়া
Beach,সৈকত
Bear,ভালুক
Bed,বিছানা
Begin,শুরু করা
Behave,আচরণ করা
Believe,বিশ্বাস করা
Below,নিচে
Belt,বেল্ট
Benefit,উপকার
Best,সেরা
Better,ভালো
Between,মধ্যে
Big,বড়
Birth,জন্ম
Bite,কামড়
Black,কালো
Blood,রক্ত
Boat,নৌকা
Body,শরীর
Book,বই
Boy,ছেলে
Brain,মস্তিষ্ক
Bread,রুটি
Break,ভাঙ্গা
Breathe,শ্বাস নেওয়া
Bring,আনা
Build,নির্মাণ করা
Building,ভবন
Burn,পোড়া
Business,ব্যবসা
Busy,ব্যস্ত
Buy,কেনা
Call,ডাকা
Camera,ক্যামেরা
Camp,শিবির
Car,গাড়ি
Card,কার্ড
Care,যত্ন
Carrier,বাহক
Case,কেস
Cash,নগদ
Catch,ধরা
Cat,বিড়াল
Cause,কারণ
Ceiling,ছাদ
