Altruist, a person who is selfless and helps others
Amateur, a person who engages in a pursuit as a pastime rather than a profession
Ambidextrous, a person who can use both hands equally well
Apathy, "lack of interest, enthusiasm, or concern"
Aristocracy, a government ruled by the nobility or elite class
Atheist, a person who does not believe in the existence of God
Autobiography, a life story written by the person themselves
Autonomous, having the freedom to govern oneself
Benevolent, well-meaning and kindly
Biography, a life story written by another person
Blasphemy, speaking or acting disrespectfully about sacred things
Botanist, an expert in the scientific study of plants
Bureaucracy, a system of government run by state officials
Cannibal, a person who eats human flesh
Centenarian, a person who is 100 years old or older
Contemporary, belonging to the same period of time
Convalescent, a person recovering from illness
Credible, something that can be believed or trusted
Democracy, a government by the people
Egoist, a person who is self-centered or selfish
Egotist, a person who talks excessively about themselves
Elusive, something that is difficult to catch or achieve
Epitaph, an inscription on a tombstone
Erratic, something that is unpredictable or irregular
Fanatic, a person with extreme enthusiasm for a cause
Fatalist, a person who believes all events are predetermined
Fragile, easily broken or damaged
Fugitive, a person who is running away to avoid capture
Glutton, a person who eats excessively
Herbivore, an animal that only eats plants
Honorary, given as an honor without the usual duties
Illegible, something that cannot be read
Illiterate, a person unable to read or write
Immortal, one who will never die
Impartial, treating all rivals or disputants equally
Inaudible, something that cannot be heard
Incredible, something that is hard to believe
Incurable, not able to be cured
Inevitable, something that is certain to happen
Infallible, incapable of making mistakes
Infamous, famous for a bad quality or deed
Invisible, something that cannot be seen
Itinerary, a planned route or journey
Jubilee, a special anniversary of an event
Linguist, a person skilled in foreign languages
Manuscript, a handwritten document
Martyr, a person who sacrifices their life for a cause
Misanthrope, a person who dislikes humankind
Monarchy, a government ruled by a king or queen
Monologue, a long speech by one person
Narcissist, a person who has excessive self-love
Nomad, a person who moves from place to place
Omnipotent, having unlimited power
Omnipresent, present everywhere at the same time
Omniscient, knowing everything
Optimist, a person who always expects the best outcome
Orator, a skilled public speaker
Pediatrician, a doctor specializing in children's health
Pessimist, a person who always expects the worst outcome
Philanthropist, a person who seeks to promote the welfare of others
Polytheist, a person who believes in many gods
